scorer,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200,DLC_Resnet50_chimera_launch_videosSep15shuffle1_snapshot_200
bodyparts,eye,eye,eye,ear,ear,ear,shoulder,shoulder,shoulder,objectA,objectA,objectA
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
115,502.55237,188.11926,0.5555816,485.32217,180.73868,0.5030679,492.9429,236.99902,0.9201051,530.5766,152.02869,0.37154582
116,502.49643,188.82268,0.51823986,486.5049,174.01717,0.446229,493.2852,235.38498,0.9105889,529.9518,152.44261,0.27968013
117,510.68674,187.4555,0.53978765,484.9252,172.53236,0.43160054,493.873,232.77617,0.90097255,529.3943,151.1184,0.3178574
118,509.84018,189.9503,0.5509633,487.09302,172.66235,0.2738209,496.3343,232.3982,0.8893744,529.8978,150.7564,0.28059748
119,516.75397,186.12187,0.50585353,480.55322,188.81395,0.23021813,495.76874,230.87573,0.8963794,535.0632,144.0181,0.37808174
120,514.40656,183.26514,0.4098559,479.91895,195.5633,0.16457178,495.52106,227.70966,0.88530844,531.04364,144.29578,0.43538997
121,513.5787,182.13725,0.39020827,479.6431,194.8611,0.16331595,495.41312,226.55849,0.860547,528.9768,149.05093,0.31236678
122,513.7668,182.83496,0.412642,480.43427,189.2719,0.1968746,495.37262,224.72894,0.84191376,528.7532,158.92336,0.21936871
123,513.6169,181.51189,0.3933041,480.2212,188.52066,0.19509545,495.79935,220.6771,0.79390526,528.4878,158.40205,0.17423464
124,516.1174,179.0753,0.27717194,482.1192,148.84375,0.16399647,496.70972,219.88686,0.8020884,529.5258,158.07593,0.16324452
125,514.7191,171.33789,0.30249873,476.3295,148.41588,0.25426546,497.85596,218.03918,0.8730094,499.6925,118.72848,0.30715913
126,511.76276,172.08327,0.41157296,480.4189,188.43846,0.21211748,499.61142,216.78928,0.88024634,530.0186,140.22957,0.27888882
127,515.2463,172.08301,0.544505,476.27408,140.60738,0.17460085,498.44122,215.377,0.8115837,533.69244,139.40121,0.32715067
128,514.67816,171.41603,0.41023877,458.09598,100.44282,0.13943261,497.83832,213.83676,0.8475462,499.28162,111.25423,0.26033756
129,518.8837,170.49799,0.516453,449.97873,92.414856,0.2043311,499.42758,212.66612,0.8445898,438.92657,77.636154,0.2989273
130,482.35394,110.12476,0.5198992,475.70193,130.56337,0.24283263,500.45154,211.93332,0.8288263,496.11838,102.20244,0.3899927
131,518.0639,163.60985,0.4971673,449.28043,85.39431,0.21113947,500.22888,205.90245,0.7258585,530.0608,132.22105,0.37828937
132,517.4544,163.48625,0.46490404,437.50018,79.72843,0.3866553,501.72913,203.76208,0.6853429,443.741,62.218426,0.40755212
133,478.8248,94.72879,0.47603914,441.16672,80.19376,0.29482237,502.82394,202.4986,0.65064585,446.43024,61.62035,0.3629749
134,478.35327,92.91478,0.4121154,440.66595,78.840096,0.3509472,503.75552,201.82318,0.6290037,447.0701,55.553425,0.40904135
135,483.53287,95.70437,0.44738775,457.5932,65.99534,0.19518349,504.7416,195.71294,0.65838635,499.0367,94.633835,0.30860564
136,516.7717,157.2362,0.400507,447.83743,61.218422,0.39940953,504.91513,193.90065,0.5932417,528.9099,127.73531,0.2708623
